source_id,source_name,cohort,priority,source_status,operator_verified,endpoint_id,endpoint_type,endpoint_status,officiality,provider_group,url,address_ready,selected_for_pilot,date_filterable,list_enumerable,limitations,checked_at,result,http_status,final_url,content_type,error
36kr-ai,36Kr AI 与创投,base_15,C2,active,True,36kr-ai-official-html-list-1,official_html_list,stable,official,official,https://36kr.com/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://36kr.com/,text/html,
geekpark,极客公园,base_15,C2,active,True,geekpark-official-html-list-1,official_html_list,stable,official,official,https://www.geekpark.net/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,http_error,403,https://www.geekpark.net/,,Forbidden
builder-x,Builder X Feed,base_15,C1,active,True,builder-x-official-api-1,official_api,stable,official,official,https://raw.githubusercontent.com/zarazhangrui/follow-builders/main/feed-x.json,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://raw.githubusercontent.com/zarazhangrui/follow-builders/main/feed-x.json,text/plain,
builder-podcasts,Builder Podcasts Feed,base_15,C1,active,True,builder-podcasts-official-api-1,official_api,stable,official,official,https://raw.githubusercontent.com/zarazhangrui/follow-builders/main/feed-podcasts.json,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://raw.githubusercontent.com/zarazhangrui/follow-builders/main/feed-podcasts.json,text/plain,
builder-blogs,Builder Blogs Feed,base_15,C1,active,True,builder-blogs-official-api-1,official_api,stable,official,official,https://raw.githubusercontent.com/zarazhangrui/follow-builders/main/feed-blogs.json,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://raw.githubusercontent.com/zarazhangrui/follow-builders/main/feed-blogs.json,text/plain,
wechat-6b999bbf,量子位,wechat_c1_29,C1,unverified,False,wechat-6b999bbf-official-html-list-2,official_html_list,candidate,official,official,https://www.qbitai.com/,True,True,False,False,官网文章列表；需继续核验与公众号发布是否完整一致,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.qbitai.com/,text/html,
wechat-latepost-7bb572c0,晚点Latepost,wechat_c1_29,C1,unverified,False,wechat-latepost-7bb572c0-official-html-list-1,official_html_list,candidate,official,official,https://www.latepost.com/,True,False,False,False,晚点官方域名；当前自动抓取可能超时，需浏览器或搜索补充,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.latepost.com/,text/html,
wechat-latepost-7bb572c0,晚点Latepost,wechat_c1_29,C1,unverified,False,wechat-latepost-7bb572c0-search-1,search,unconfigured,third_party,agent-search,,True,False,False,False,搜索由微信查询计划驱动；无命中不得解释为本周无更新,2026-09-21T03:08:47.292870+00:00,unconfigured,,,,
wechat-1ab46c58,新智元,wechat_c1_29,C1,unverified,False,wechat-1ab46c58-official-html-list-2,official_html_list,candidate,official,official,https://www.aiera.com.cn/,True,True,False,False,官网可发现文章；公众号完整映射仍待核验,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.aiera.com.cn/,text/html,
wechat-e36f0efd,清科研究,wechat_c1_29,C1,unverified,False,wechat-e36f0efd-official-html-list-2,official_html_list,candidate,official,zero2ipo-web,https://research.pedaily.cn/,True,True,False,False,清科研究官网列表,2026-09-21T03:08:47.292870+00:00,reachable,200,https://research.pedaily.cn/,text/html,
wechat-e1600bc1,投资界,wechat_c1_29,C1,unverified,False,wechat-e1600bc1-official-html-list-2,official_html_list,candidate,official,zero2ipo-web,https://news.pedaily.cn/,True,False,False,False,投资界网页列表；与清科研究共享基础设施,2026-09-21T03:08:47.292870+00:00,reachable,200,https://news.pedaily.cn/,text/html,
wechat-7a475cf9,投中网,wechat_c1_29,C1,unverified,False,wechat-7a475cf9-official-html-list-2,official_html_list,candidate,official,chinaventure-web,https://www.chinaventure.com.cn/,True,False,False,False,官网首页；需配置文章路径过滤,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.chinaventure.com.cn/,text/html,
wechat-fofweekly-8d6e41db,FOFWEEKLY,wechat_c1_29,C1,unverified,False,wechat-fofweekly-8d6e41db-official-html-list-2,official_html_list,candidate,official,fofweekly-web,https://www.fofweekly.com/,True,False,False,False,官网首页；需配置文章路径过滤,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.fofweekly.com/pc/,text/html,
wechat-c7c6a08b,红杉中国,wechat_c1_29,C1,unverified,False,wechat-c7c6a08b-official-html-list-2,official_html_list,candidate,official,hongshan-web,https://www.hongshan.com/,True,False,False,False,机构官网；新闻列表完整性待核验,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.hongshan.com/,text/html,
wechat-13109585,启明创投,wechat_c1_29,C1,unverified,False,wechat-13109585-official-html-list-2,official_html_list,candidate,official,qiming-web,https://www.qimingvc.com/cn/newsroom,True,False,False,False,机构官方新闻页,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.qimingvc.com/cn/newsroom,text/html,
wechat-9671fe1e,高瓴创投,wechat_c1_29,C1,unverified,False,wechat-9671fe1e-official-html-list-2,official_html_list,candidate,official,hillhouse-web,https://www.hillhouseinvestment.com/,True,False,False,False,机构官网；入口可访问性与更新频率待核验,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.hillhouseinvestment.cn/,text/html,
wechat-ai-98563069,智谱AI,wechat_c1_29,C1,unverified,False,wechat-ai-98563069-official-html-list-2,official_html_list,candidate,official,zhipu-web,https://www.zhipuai.cn/,True,False,False,False,官网包含产品与研究动态；需配置内容路径过滤,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.zhipuai.cn/zh,text/html,
wechat-deepseek-2b893991,DeepSeek,wechat_c1_29,C1,unverified,False,wechat-deepseek-2b893991-official-html-list-2,official_html_list,candidate,official,deepseek-web,https://www.deepseek.com/transparency/,True,False,False,False,仅覆盖透明度中心与主要模型发布，不等于公众号全量,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.deepseek.com/transparency/,text/html,
wechat-kimi-d3ffbd28,月之暗面Kimi,wechat_c1_29,C1,unverified,False,wechat-kimi-d3ffbd28-official-html-list-2,official_html_list,candidate,official,moonshot-web,https://www.moonshot.cn/,True,False,False,False,公司官网；公开动态列表完整性待核验,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.moonshot.cn/,text/html,
wechat-minimax-833381db,MiniMax,wechat_c1_29,C1,unverified,False,wechat-minimax-833381db-official-html-list-2,official_html_list,candidate,official,minimax-web,https://www.minimax.cn/,True,True,False,False,官网首页包含最新研究与模型发布,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.minimax.cn/,text/html,
wechat-20ef379b,阿里云,wechat_c1_29,C1,unverified,False,wechat-20ef379b-official-html-list-2,official_html_list,candidate,official,aliyun-web,https://cn.aliyun.com/,True,False,False,False,阿里云官网产品动态；不是公众号完整镜像,2026-09-21T03:08:47.292870+00:00,reachable,200,https://cn.aliyun.com/,text/html,
wechat-45549b51,火山引擎,wechat_c1_29,C1,unverified,False,wechat-45549b51-official-html-list-2,official_html_list,candidate,official,volcengine-web,https://www.volcengine.com/news,True,True,False,False,火山引擎官方发布中心,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.volcengine.com/news,text/html,
wechat-b013eec9,寒武纪,wechat_c1_29,C1,unverified,False,wechat-b013eec9-official-html-list-2,official_html_list,candidate,official,cambricon-web,https://www.cambricon.com/,True,False,False,False,公司官网新闻；更新频率可能低于公告渠道,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.cambricon.com/,text/html,
wechat-31b87d3e,华为昇腾,wechat_c1_29,C1,unverified,False,wechat-31b87d3e-official-html-list-2,official_html_list,candidate,official_proxy,huawei-web,https://www.huawei.com/cn/news,True,False,False,False,华为官方新闻中心，覆盖范围大于昇腾账号，需按昇腾关键词过滤,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.huawei.com/cn/news,text/html,
wechat-ad83a8cb,浪潮信息,wechat_c1_29,C1,unverified,False,wechat-ad83a8cb-official-html-list-2,official_html_list,candidate,official,inspur-web,https://www.ieisystem.com/about/news/,True,False,False,False,浪潮信息官方新闻中心,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.ieisystem.com/about/news/,text/html,
wechat-bffb080a,中际旭创,wechat_c1_29,C1,unverified,False,wechat-bffb080a-official-html-list-2,official_html_list,candidate,official,innolight-web,https://www.zj-innolight.com/cn/news.html,True,False,False,False,公司官方新闻页；证券公告仍应回到交易所来源,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.zj-innolight.com/cn/news.html,text/html,
wechat-caict-61b13056,中国信通院CAICT,wechat_c1_29,C1,unverified,False,wechat-caict-61b13056-official-html-list-1,official_html_list,candidate,official,official,http://www.caict.ac.cn/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,http_error,412,http://www.caict.ac.cn/,,Precondition Failed
wechat-4cad55a4,网信中国,wechat_c1_29,C1,unverified,False,wechat-4cad55a4-official-html-list-1,official_html_list,candidate,official,official,https://www.cac.gov.cn/,True,False,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.cac.gov.cn/,text/html,
wechat-7a0a8dbd,工信微报,wechat_c1_29,C1,unverified,False,wechat-7a0a8dbd-official-html-list-1,official_html_list,candidate,official,official,https://www.miit.gov.cn/,True,False,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.miit.gov.cn/,text/html,
wechat-afe9754b,国家数据局,wechat_c1_29,C1,unverified,False,wechat-afe9754b-official-html-list-1,official_html_list,candidate,official,official,https://www.nda.gov.cn/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,network_error,,,,<urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
wechat-1baced62,金融电子化,wechat_c1_29,C1,unverified,False,wechat-1baced62-official-html-list-2,official_html_list,candidate,official,fddnet-web,https://www.fddnet.cn/,True,False,False,False,可发现署名为金融电子化的内容，但与公众号主体关系仍需人工确认,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.fddnet.cn/,text/html,
wechat-2bd03071,动脉网,wechat_c1_29,C1,unverified,False,wechat-2bd03071-official-html-list-1,official_html_list,candidate,official,official,https://www.vbdata.cn/articleList?tag=5456,True,False,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.vbdata.cn/articleList?tag=5456,text/html,
wechat-76d0c223,网络法实务圈,wechat_c1_29,C1,unverified,False,wechat-76d0c223-official-html-list-1,official_html_list,candidate,official_proxy,kindinglaw-web,https://www.kindinglaw.com/,True,False,False,False,运营方官网资讯中心；不保证完整同步公众号文章,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.kindinglaw.com/,text/html,
wechat-76d0c223,网络法实务圈,wechat_c1_29,C1,unverified,False,wechat-76d0c223-search-1,search,unconfigured,third_party,agent-search,,True,False,False,False,搜索由微信查询计划驱动；无命中不得解释为本周无更新,2026-09-21T03:08:47.292870+00:00,unconfigured,,,,
wechat-664c57ad,安全客,wechat_c1_29,C1,unverified,False,wechat-664c57ad-official-html-list-1,official_html_list,candidate,official,anquanke-web,https://www.anquanke.com/,True,True,False,False,安全客官网内容列表；部分页面需要动态渲染,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.anquanke.com/,text/html,
wechat-664c57ad,安全客,wechat_c1_29,C1,unverified,False,wechat-664c57ad-official-rss-1,official_rss,fallback,official,anquanke-api,https://api.anquanke.com/data/v1/rss,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://api.anquanke.com/data/v1/rss,application/xml,
china-renaissance,华兴资本,wechat_c1_29,C1,unverified,False,china-renaissance-official-html-list-2,official_html_list,candidate,official,huaxing-web,https://www.huaxing.com/,True,False,False,False,华兴资本官网；需定位 newsroom 稳定列表,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.huaxing.com/,text/html,
